band_num,date_resighted,location,observer,status,comments,Other notes: there are sometimes handwritten notes such as the one in this binder before page 49
1167-44293,1984-04-11,N end of pond #25,EJW,sitting alone on pond... joined by 2 males when flushed ,,
1167-44294,NA,NA,NA,NA,there are no data entries on this page ,
1167-44295,1984-06-19,Nest #54 S of 40,"JEG,MRM,JMS,JTJ",in nest with 9 eggs ,"""fitted with transmitter (531) nest abandoned ",
1167-44295,1984-06-20,p25,JEG,alone,flushed from NW corner of slough by observers ,
1167-44295,"1984-06-21, 0700",p26 or 25,JEG,unknown ,did not see bird ,
1167-44295,"1984-06-21, 1020",NW of house from slough just off area ,JEG,unknown ,bird not seen ,
1167-44295,1984-06-22,p20,JEG,unknown ,bird not seen ,
1167-44295,"1984-06-25, 0730","signal picked up from house- coming from 66,67 or 65","MRM, JEG",unknown ,bird not observed ,
1167-44295,"1984-06-25, 0900",slough off SE corner of area ,"MRM,JEG",unknown ,bird not observed ,
1167-44295,1984-06-26,slough off SE corner of area ,"MRM,JEG",alone,bird flushed by observers ,
1167-44295,1984-06-27,p90,JEG,unknown ,bird not observed ,
1167-44295,1984-06-28,p90,JEG,unknown ,bird not observed ,
1167-44295,1984-06-29,slough off NE corner of area ,JMS,unknown ,bird not observed ,
1167-44295,1984-07-03,slough off NE corner of area ,"MRM,JEG",unknown ,bird not observed ,
1167-44295,1984-07-04,p90,JMS,unknown ,bird not observed ,
1167-44295,1984-07-05,slough off NE corner of area ,JEG,unknown ,bird not observed ,
1167-44295,1984-07-10,slough off SE corner of area ,"JEG, JTJ",unknown ,"bird not observed""",
1167-44295,1984-07-12,slough 1km E of SE corner of area ,JMS,NA,NA,
1167-44295,1984-07-17,same as above,JMS,NA,I think they mean that this bird was also near slough 1km E of SE corner of area ,
1167-44296,NA,NA,NA,NA,there are no data entries on this page ,
1337-44601,1985-07-22,pond #8143,"TGJ,EHD,AMT,HBI",NA,"""feining when observed""",
1337-44604,1984-04-21,p86,MRM,with male ,NA,
1337-44604,1984-06-20,slough across road (South) of 90 S,JEG,with male ,NA,
1337-44610,NA,NA,NA,NA,there are no data entries on this page ,
1337-44658,1985-05-16,p79 E,"JEG,JMS",with male ,"""shot: 24 November 1985, Pommdeterre Lake, Missouri w/ male 1337-44867""",
1337-44673,NA,NA,NA,NA,there are no data entries on this page ,
1337-44685,NA,NA,NA,NA,there are no data entries on this page ,
1337-44686,1984-06-17,#79,JTJ,alone,NA,
1337-44686,1984-06-18,#79,JEG,alone,NA,
1337-44700,"1984-06-19,0700",p66,JEG,with 8 ducklings (IIb),"""n=10 yng, hatch date =25 May""",
1337-44700,"1984-06-19, 2015",p65,JEG,with 8 yng,NA,
