band_num,date_resighted,location,observer,status,comments
865-18511+CB,1986-06-25,n76,"GCG, JBI, AMT",nest hatched,"""7 of 10 duclinkgs web-tagged (A341-343, A345, A346, A350, A351"""
865-18512+CB,1986-06-24,n150,"GWB, AMT",nest hatched,"""2 of 7 ducklings web-tagged (A339, A340); other 5 pipping"""
865-18514+CB,1986-07-02,n87,"RGC, GCG","killed at nest,eggs intact",NA
865-18532+CB,NA,NA,NA,NA,NA
865-18533+CB,1986-07-29,p50,"AMT, JBK, JBI",with12 other BWT,NA
865-18540+CB,1986-07-29,p50,"AMT, JBK, JBI",with12 other BWT,NA
865-18540+CB,1986-08-06,p50,AMT,with 6 other BWT,NA
865-18540+CB,NA,NA,NA,"""captured 17 august 1988 at Cumberland House, SK (released) by US FLOS birding crew""",
865-18544+CB,NA,NA,NA,NA,NA
865-18559+CB,1986-08-01,p125N,JBI,NA,NA
865-18559+CB,1986-08-27,p79E,RGC,with large flock (>25) of blue-wings,NA
865-18559+CB,1986-08-16,p66,RGC,NA,"""bait trap (wt=325g)"""
865-18559+CB,1988-06-30,p22,KDW,NA,"""W/2Ia (N39)"""
865-18571+CB,1986-08-07,p20,RGC,NA,"""W/2 other BWT"""
865-18571+CB,1986-08-06,p20,RGC,NA,"""W/2 other BWT"""
865-18571+CB,1986-08-14,p67,RGC,NA,NA
865-18571+CB,1986-08-20,p66,RGC,NA,"""near bait trap, feeding, with other teal"""
865-18571+CB,1986-08-20,p65,RGC,NA,"""swimming with flock of teal"""
865-18571+CB,1986-08-13,p66,JBI,bait trapped (wt=300g),NA
865-18539+GCB,1986-08-16,p66,RGC,NA,"""captured in bait trap, and nasal tagged (wt=315g)"""
865-18742,1986-07-18,p1,NA,class IIb,"""web tagged (A0842) after drive trapping"""
865-18742,1986-08-20,p1,"JBI, AMT",hy,"""caught in bait trap and banded, nasal tagged (wt=310g)"""
865-18742,1986-08-22,p1,RGC,NA,"""bait trap (wt=295g)"""
865-18742,1986-08-23,p1,RGC,NA,"""bait trap (wt=285g)"""
865-18746,1986-06-25,n37,NA,NA,"""web tagged (A0359)"""
865-18746,1986-08-20,p79E (bait trap),"JBI, AMT",hy,"""banded, nasal tagged (wt=340g)"""
865-18746,1986-08-22,p79,RGC,bait trapped (wt=345g),NA
865-18746,1986-08-27,p79,RGC,NA,"""with large flock (>25) blue wings"""
