band_num,date_resighted,location,observer,status,comments,
876-04973,1987-07-15,n119,"GWB,GCG",nest hatching,"""4 ducklings cracked from eggs and weeb-tagged (cws 1592 to 1595 inclusive)",
876-04973,1988-05-15,p1 W,RGC,paired,NA,
876-04973,1988-05-16,p1 W,RGC via MG,paired,NA,
876-04973,1988-05-25,p1 E,RGC,NA,NA,
876-04973,1988-05-26,p1 E,GWB,NA,NA,
876-04973,1988-06-02,p1 E (south),via MG,paired,NA,
876-04973,1988-06-05,p1 E,RGC,NA,NA,
876-04973,1988-06-13,p1 E,RGC,NA,"""green CB""",
876-04973,1988-06-13,p1 E,MG,NA,NA,
876-04973,1988-06-16,p1 E,MG,NA,NA,
876-04973,1988-07-09,p1 E,RGC,NA,"""on shore on recess nest hatching when checked""",
876-04973,1988-07-10,n114,RGC,NA,"""nest hatched""",
876-04973,1988-07-18,NW of house,NA,NA,"""w 9 Ia's""",
876-04973,1988-07-28,NW of house,RGC,NA,NA,
876-04973,1988-08-04,NW of house,RGC,NA,NA,
876-04973,1988-08-11,NW of house,RGC,NA,"""15 - II a's""",
876-04984,1988-05-28,pd125 N,RGC,paired,NA,
876-04984,1988-05-30,pd125 N,MG,paired,NA,
876-04984,1988-06-02,pd125 N,RGC,paired,NA,
876-04984,1988-06-07,pd125 N,RGC,paired,NA,
876-04984,1988-06-09,pd125 N,MG,paired,NA,
876-04984,1988-06-11,pd125 N,RGC,paired,NA,
876-04984,1988-06-13,NA,KDW,NA,NA,
876-04984,1988-06-13,p125 N,RGC,paired,NA,
876-04984,1988-06-14,p125 N,MG,paired,NA,
876-04984,1988-06-21,p125 N,MG,paired,NA,
876-04984,1988-06-30,NNW house,RGC,NA,"""0722-0735""",
876-04984,1989-05-07,p90 B,RGC,paired,NA,
876-04984,1989-05-08,p90 B,"RGC,CFJ",paired,NA,
876-04984,1989-05-15,p1,"CFJ,KDW",paired,NA,
876-04984,1989-05-17,p125 S,RDD,paired,NA,
876-04984,1989-05-18,p125 S,RGC,paired,NA,
876-04984,1989-05-20,p125 S,RGC,paired,NA,
876-04984,1989-05-23,p125 S,KDW,paired,NA,
876-04984,1989-06-01,p125 S,"KDW,CJF",paired,NA,
876-04984,1989-06-02,p125 S,KDW,paired,NA,
876-04984,1989-06-15,p1,CJF,paired,NA,
876-04984,1989-06-18,p1 N,RGC,paired,NA,
876-04984,1989-06-22,p1 N,CJF,paired,NA,
876-04984,1989-06-25,p1 N,RGC,paired,NA,
876-04984,1990-05-05,p1 E,RGC,paired,NA,
876-04984,1990-05-08,p1 E,RDD,pair,"""white CB""",
876-04984,1990-07-01,p1 E,RGC,9 Ia's,NA,
876-04984,1991-05-10,p1 N,RDD,paired,NA,
876-04984,1991-05-23,p1 N,RDD,paired,NA,
876-04984,1991-05-15,p1 ,MG,paired,NA,
876-04984,1991-05-25,p1 ,RGC,paired,NA,
876-04984,1991-06-11,SW W block,MG,paired,NA,
876-04984,1994-06-21,p5056,"MC,SWL",paired,"""@1759 hrs - in peafield NE of pd""",
876-04985,1988-06-21,n47,"RGC,GCG",NA,"""nest hatched 22 june /88""",
876-04985,1988-07-21,p7144,RGC,NA,"""w 9"" there was no letter after the nine",
876-04986,1988-06-25,n25,"DJS,KDW",NA,"""nest hatched 25 june/88""",
876-04986,1988-06-28,p20,RGC,NA,"""w 9 Ia's""",
876-04986,1988-06-30,p20,NA,NA,NA,
876-04986,1988-07-02,p20,RGC,NA,"""w 9 Ia's""",
876-04986,1988-07-05,p20,RGC,NA,"""w 9 Ia's""",
876-04986,1988-07-04,p20,RGC,NA,"""w 9 Ib's""",
876-04986,1988-07-04,p20,MG,NA,NA,
876-04986,1988-07-08,p20,DJS,NA,"""w 10"" there was no letter after the ten",
876-04986,1988-07-09,p20,RGC,NA,"""w 7"" there was no letter after the seven",
876-04986,1988-07-10,p20,RGC,NA,"""w 7"" there was no letter after the seven",
876-04986,1988-07-11,p20,census,NA,"""w 7 Ic's""",
876-04986,1988-07-12,p20,RGC,NA,"""w 7"" there was no letter after the seven",
876-04986,1988-07-16,p20,RGC,NA,"""w 7 Ic's""",
876-04986,1988-07-18,p20,RGC,NA,"""w 7"" there was no letter after the seven",
876-04986,1988-07-21,p20,census,NA,"""w 7 Ic's""",
876-04986,1988-07-28,p50,KDW,NA,NA,
