"","band_num","date_resighted","location","observer","status","comments","Other.notes..there.are.sometimes.handwritten.notes.such.as.the.one.in.this.binder.before.page.49","Brood.instead.of.Resightings","X","X.1","X.2","X.3"
"171","1357-20177","1983-06-27","p67","JMS","with mate ",NA,NA,NA,NA,NA,NA,NA
"172","1357-20181",NA,NA,NA,NA,"""DEAD shot 12 Dec. 1983, Texas""",NA,NA,NA,NA,NA,NA
"173","1357-20197","1985-07-23","n148","JMS,RGC",NA,"""Nest hatched 26 July '85, 8 young, young not web-tagged"".There is a sticky not attached: ""1985 update by EHD Feb 13/93""",NA,NA,NA,NA,NA,NA
"174","1237-46495","1983-06-13","p66","JMS","with male",NA,NA,NA,NA,NA,NA,NA
"175","1237-46495","1984-04-26","p26","MRM","with male ","""male has band on right leg""",NA,NA,NA,NA,NA,NA
"176","1237-46495","1984-05-01","p79 W","MRM,JEG","with male ","""male has band on right leg""",NA,NA,NA,NA,NA,NA
"177","1237-46495","1984-05-03, 0940","p79 W","MRM","with male ",NA,NA,NA,NA,NA,NA,NA
"178","1237-46495","1984-05-03, 1238","p65","MRM,JEG","with male ","""male has band on right leg""",NA,NA,NA,NA,NA,NA
"179","1237-46495","1984-05-04","p79 W","JEG","with male ","""male has band on right leg""",NA,NA,NA,NA,NA,NA
"180","1237-46495","1984-05-04","p79 W","MRM","with leg banded male","""flew to pond #65""",NA,NA,NA,NA,NA,NA
"181","1237-46495","1984-05-05","p79 W","JEG","with male ",NA,NA,NA,NA,NA,NA,NA
"182","1237-46495","1984-05-10","p65","JEG","alone","""this bird was probably flushed by another observer- she landed in the middle of #65 where yellow disc- yellow disc and her male were along the East shore- male with yellow disc-yellow disc swam toward this bird- she flushed and was followed by the male for a short distance- he circled back and landed beside his female- this female flew South-West- did not see where or if she landed""",NA,NA,NA,NA,NA,NA
"183","1237-46495","1984-05-14","p65","JEG","with male ","""male charge 2 males, chased them in flight, retuned to female""",NA,NA,NA,NA,NA,NA
"184","1237-46495","1984-05-16","p65","JEG,JTJ","with male ",NA,NA,NA,NA,NA,NA,NA
"185","1237-46495","1984-05-21","p79 W","JTJ","with male",NA,NA,NA,NA,NA,NA,NA
"186","1237-46495","1984-05-22","p66","MRM",NA,NA,NA,NA,NA,NA,NA,NA
"187","1237-46495","1984-05-25","p79 W","JMS","with male ",NA,NA,NA,NA,NA,NA,NA
"188","1237-46495","1984-06-01","p79 W","JEG","with male ",NA,NA,NA,NA,NA,NA,NA
"189","1237-46496",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"190","1167-44221","1984-04-30","#50","MRM","with mate ","""male with red tri-yellow tri chased marked female mall (yellow disc-yellow disc) - red tri-yellow tri quacked incessantly after male chased after marked female"" ",NA,NA,NA,NA,NA,NA
"191","1167-44221","1984-05-11","p50","JEG","with male","""male sitting in open water a few feet from female who is loafing just inside edge vegetation-male frequently head pumping- male swam toward lone male who left general area - male returned to area near marked female""",NA,NA,NA,NA,NA,NA
"192","1167-44230","1983-09-27","#125","EJW","in group of 7 males, 1 female",NA,NA,NA,NA,NA,NA,NA
"193","1167-44245",NA,NA,NA,NA,"""DEAD shot 1 Nov 1983, Minnesota""",NA,NA,NA,NA,NA,NA
"194","1167-44258",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"195","1167-44271",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"196","1167-44273",NA,NA,NA,NA,"there are no data entries on this page",NA,NA,NA,NA,NA,NA
"197","1167-44293","1984-04-11","N end of pond #25","EJW","sitting alone on pond... joined by 2 males when flushed ","",NA,NA,NA,NA,NA,NA
"198","1167-44294",NA,NA,NA,NA,"there are no data entries on this page ",NA,NA,NA,NA,NA,NA
"199","1167-44295","1984-06-19","Nest #54 S of 40","JEG,MRM,JMS,JTJ","in nest with 9 eggs ","""fitted with transmitter (531) nest abandoned ",NA,NA,NA,NA,NA,NA
"200","1167-44295","1984-06-20","p25","JEG","alone","flushed from NW corner of slough by observers ",NA,NA,NA,NA,NA,NA
