"","location"
"1006","Same area or maybe S farther"
"1007","W of house S of Skunk pen"
"1008","w OF Bouissiere's"
"1009","Pd S of 90b"
"1010","S of 5338 "
"1011","W of 5338"
"1012","SE of Boussiere's"
"1013","Straight N of Bossieres"
"1014","SW of boussieres"
"1015","Field N of boussieres "
"1016","N of boussieres"
"1017","Unknown"
"1018","Pd N of Boussieres"
"1019","NE side Pd20"
"1020","Pd 70 or 71"
"1021","Pd 75"
"1022","Pd 70 duckling 1b"
"1023","W end Pd79"
"1024","Pd76"
"1025","Pd76 no sighting"
"1026","W side of 76"
"1027","S side Pd 76"
"1028","SE side Pd 66"
"1029","N side Pd 76"
"1030","Pd76?"
"1031","Pd 71"
"1032","S Pd 71"
"1033","not sure if theeir hers she flushed earlier"
"1034","Morning barely heard E of Pd66 afternoon AWOL"
"1035","Schomars Pd N of duckpen"
"1036","NE N241"
"1037","SW of Skomars Pd"
"1038","SE of Pd5056"
"1039","N011"
"1040","S of Pd 17 N#011"
"1041","NW of Pd20W "
"1042","North of La Breques"
"1043","Northeast of La Braques"
"1044","Northeast of La Braques, lentil field in wetland on muskrat house"
"1045","N"
"1046","Centre of 1/4 sec south of Bousierre's Farms "
"1047","Centre of 1/4 sec south of Bousierre's Farms, 1/2 mile futher South of Bousierre's Farm"
"1048","1/2 miles West on North border study area "
"1049","Southeast of Pd92"
"1050","Southeast of Pd93"
"1051","90 meters of road; 150 meters East of skunkper"
"1052","1/2 miles East of skunkper"
"1053","Nest Southeast Arthur's"
"1054","South of 5338"
"1055","South Pd South of 5338"
"1056","South of Pd 5338 Norhwest Siae"
"1057","South of 5338 Northwest Tip"
"1058","Southeast of Arthur's house"
"1059","Pd South of 5538"
"1060","Southwest end South of 5338"
"1061","Northwest end South of 5338"
"1062","Southwest end of 5338"
"1063","Southeast of South of 5338"
"1064","Pd West of Bousierres"
"1065","3 to 4 miles southeast of awa on huge wetland (See map in the clipboard)"
"1066","On nest"
"1067","Pd 4439"
"1068","South Pd 4439 central South pond"
"1069","South of 4439 East side "
"1070","Pd 6753"
"1071","Pd6753"
"1072","East Pd 133 Nest #239"
"1073","Nest1168"
"1074","South of Pd 5338 First Pd South of power lines in crop"
"1075","North 072"
"1076","Pd 1 North"
"1077","Pd 94"
"1078","350 East Pd 5056"
"1079","Pd 65"
"1080","Nest 038"
"1081","Pd 4156 Skomar's "
"1082","Pd 35"
"1083","Nest 021"
"1084","Nest 54"
