"","band_num","SPECIES","DATE","COORDINATES"
"208","855-43203","","",""
"209","865-18850","BWTE","8/16/1987","52.08333 -106.08333"
"210","865-18842","BWTE","8/15/1987","52.08333 -106.08333"
"211","885-43219","BWTE","8/3/1990","52.08333 -106.08333"
"212","885-43221","BWTE","8/10/1990","52.08333 -106.08333"
"213","885-43222","BWTE","8/10/1990","52.08333 -106.08333"
"214","885-43223","BWTE","8/10/1990","52.08333 -106.08333"
"215","885-43224","BWTE","8/10/1990","52.08333 -106.08333"
"216","885-43225","BWTE","8/10/1990","52.08333 -106.08333"
"217","755-49468","BWTE","8/17/1989","52.25 -106.08333"
"218","865-18948","BWTE","7/20/1988","52.08333 -106.08333"
"219","885-43375","BWTE","6/23/1991","52.08333 -106.08333"
"220","885-43377","BWTE","7/17/1991","52.08333 -106.08333"
"221","885-43378","BWTE","7/19/1991","52.08333 -106.08333"
"222","885-43405","","",""
"223","885-43421","BWTE","8/28/1991","52.08333 -106.08333"
"224","","","",""
"225",NA,"","",""
"226","876-04949","GADW","6/25/1986","52.08333 -106.08333"
"227","876-04950","GADW","6/28/1986","52.08333 -106.08333"
"228","876-04951","GADW","7/8/1986","52.08333 -106.08333"
"229","876-04952","GADW","7/8/1986","52.08333 -106.08333"
"230","876-04967","GADW","6/25/1987","52.08333 -106.08333"
"231","876-04970","GADW","7/1/1987","52.08333 -106.08333"
"232","876-04971","GADW","7/2/1987","52.08333 -106.08333"
"233","876-04972","GADW","7/6/1987","52.08333 -106.08333"
"234","876-04973","GADW","7/14/1987","52.08333 -106.08333"
"235","876-04984","GADW","5/25/1988","52.08333 -106.08333"
"236","876-04985","GADW","6/20/1988","52.08333 -106.08333"
"237","876-04986","GADW","6/23/1988","52.08333 -106.08333"
"238","876-04988","GADW","6/23/1988","52.08333 -106.08333"
"239","876-04989","GADW","6/30/1988","52.08333 -106.08333"
"240","876-04990","GADW","6/30/1988","52.08333 -106.08333"
"241","876-04902","AMWI","8/4/1983","52.08333 -106.08333"
"242","876-04997","GADW","7/22/1988","52.08333 -106.08333"
"243","596-68116","GADW","7/2/1989","52.08333 -106.08333"
"244","596-68127","GADW","7/7/1989","52.08333 -106.08333"
"245","596-68130","GADW","7/11/1989","52.08333 -106.08333"
"246","596-68132","GADW","7/13/1989","52.08333 -106.08333"
"247","596-68126","GADW","7/6/1989","52.08333 -106.08333"
"248","596-68115","GADW","7/2/1989","52.08333 -106.08333"
"249","596-68129","GADW","7/8/1989","52.08333 -106.08333"
"250","596-68113","GADW","6/22/1989","52.08333 -106.08333"
"251","596-68168","GADW","6/25/1990","52.08333 -106.08333"
"252","596-68177","GADW","7/3/1990","52.08333 -106.08333"
"253","596-68176","GADW","7/1/1990","52.08333 -106.08333"
"254","596-68180","GADW","7/5/1990","52.08333 -106.08333"
"255","596-68183","GADW","7/5/1990","52.08333 -106.08333"
"256","596-68186","GADW","7/9/1990","52.08333 -106.08333"
"257","596-68187","GADW","7/9/1990","52.08333 -106.08333"
"258","596-68189","GADW","7/13/1990","52.08333 -106.08333"
"259","596-68188","GADW","7/10/1990","52.08333 -106.08333"
"260","596-68196","GADW","7/19/1990","52.08333 -106.08333"
"261","596-68198","GADW","8/10/1990","52.08333 -106.08333"
"262","596-68174","GADW","6/30/1990","52.08333 -106.08333"
"263","596-68167","GADW","6/3/1990","52.08333 -106.08333"
"264","596-68165","GADW","5/13/1990","52.08333 -106.08333"
"265","596-68169","GADW","6/27/1990","52.08333 -106.08333"
"266","596-68171","GADW","6/28/1990","52.08333 -106.08333"
"267","596-68175","GADW","6/30/1990","52.08333 -106.08333"
"268","896-62801","GADW","8/2/1990","52.08333 -106.08333"
"269","896-62896","GADW","6/28/1991","52.08333 -106.08333"
"270","896-62895","GADW","6/26/1991","52.08333 -106.08333"
"271","896-62898","GADW","7/6/1991","52.08333 -106.08333"
"272","896-75105","GADW","7/18/1991","52.25 -106.08333"
"273","896-75106","GADW","7/20/1991","52.25 -106.08333"
"274","896-75117","GADW","7/26/1991","52.25 -106.08333"
"275","896-75118","GADW","7/31/1991","52.25 -106.08333"
"276","896-75110","GADW","7/26/1991","52.25 -106.08333"
"277","896-75115","GADW","7/26/1991","52.25 -106.08333"
"278","896-75159","GADW","7/14/1992","52.08333 -106.08333"
"279","896-75157","GADW","7/10/1992","52.08333 -106.08333"
"280","896-75156","GADW","7/9/1992","52.08333 -106.08333"
"281","896-75153","GADW","7/9/1992","52.08333 -106.08333"
"282","896-75152","GADW","7/8/1992","52.08333 -106.08333"
