orig_location,location_found,new_location_name,gen_location
Clarksdale MS,FALSE,unknown,NA
N 422,FALSE,unknown,NA
N 338,FALSE,unknown,NA
N 217 Isl,FALSE,unknown,NA
"Dumus, Arkansas",FALSE,unknown,outside area
S of NWA approx 2 mi,FALSE,unknown,NA
1 m N of town of St. Denis,FALSE,unknown,surrounding area
pd N of 7040,FALSE,unknown,NA
N 301,FALSE,unknown,NA
1.5 mi SW of Arthur 1 mi W of Labreques,FALSE,unknown,NA
N 294,FALSE,unknown,NA
1 pd NE of 5056,FALSE,unknown,NA
"Buffalo, Texas",FALSE,unknown,NA
Lrge pd SW of 4727,FALSE,unknown,NA
p cd. 3635,FALSE,unknown,NA
n121,FALSE,unknown,NA
5965N,FALSE,unknown,NA
n107,FALSE,unknown,NA
n27,FALSE,unknown,NA
n76,FALSE,unknown,NA
n150,FALSE,unknown,NA
n87,FALSE,unknown,NA
n37,FALSE,unknown,NA
n98,FALSE,unknown,NA
n140,FALSE,unknown,NA
n75,FALSE,unknown,NA
79E,FALSE,unknown,NA
n115,FALSE,unknown,NA
n92,FALSE,unknown,NA
n38,FALSE,unknown,NA
n39,FALSE,unknown,NA
New House ,FALSE,unknown,NA
n123,FALSE,unknown,NA
pond #3670,FALSE,unknown,within park
pond #4857,FALSE,unknown,within park
SE of Pd5338,FALSE,unknown,within park
S of Pd5338,FALSE,unknown,within park
South of Pd 5338,FALSE,unknown,within park
2 Pd N of Pd 6642,FALSE,unknown,within park
SE of Pd5056,FALSE,unknown,within park
Pd4857,FALSE,unknown,within park
South of Pd 5338 Norhwest Siae,FALSE,unknown,within park
Pd 4439,FALSE,unknown,within park
South Pd 4439 central South pond,FALSE,unknown,within park
Pd 6753,FALSE,unknown,within park
Pd6753,FALSE,unknown,within park
South of Pd 5338 First Pd South of power lines in crop,FALSE,unknown,within park
350 East Pd 5056,FALSE,unknown,within park
Pd 4156 Skomar's ,FALSE,unknown,within park
350m E pd 5056,FALSE,unknown,within park
pd 5338,FALSE,unknown,within park
pd 6317,FALSE,unknown,within park
pd 6753,FALSE,unknown,within park
pd 6642,FALSE,unknown,within park
pd 5056,FALSE,unknown,within park
pd 9338,FALSE,unknown,within park
1st pd SE of pd 5338,FALSE,unknown,within park
pd 906,FALSE,unknown,within park
pd 5335,FALSE,unknown,within park
(7144) pd 7040,FALSE,unknown,within park
1/4 mi S of pd 7040,FALSE,unknown,within park
greater or equal to 3 mi NE of pd 7040 ,FALSE,unknown,within park
Near pd 2938,FALSE,unknown,within park
S of pd 799 nest 403,FALSE,unknown,within park
S pd 5338,FALSE,unknown,within park
pd 4327,FALSE,unknown,within park
S of pd 5338 1st pd S of powerlines in crop,FALSE,unknown,within park
pd 6751,FALSE,unknown,within park
pd 6631,FALSE,unknown,within park
SW of pd 6631 E side of road,FALSE,unknown,within park
pd 9350,FALSE,unknown,within park
pd 8367,FALSE,unknown,within park
SW pd 9350,FALSE,unknown,within park
pd 7966,FALSE,unknown,within park
pd 6136,FALSE,unknown,within park
big pd 8132 NE of Andre Denis,FALSE,unknown,within park
pd 8132 NE Andre Denis farm,FALSE,unknown,within park
nest # 412 N of pd 5056,FALSE,unknown,within park
pd 7662?,FALSE,unknown,within park
SW end pd 9350,FALSE,unknown,within park
S of pd 5056,FALSE,unknown,within park
pd 6954,FALSE,unknown,within park
"Skomar's pd, pd 4156",FALSE,unknown,within park
SW pd 5662,FALSE,unknown,within park
pd 8443,FALSE,unknown,within park
pd 7044,FALSE,unknown,within park
5 pds N of pd 2943,FALSE,unknown,within park
SCAUP 12,FALSE,unknown,NA
Pd 5338,FALSE,unknown,within park
Pd4327,FALSE,unknown,within park
Pd 6642,FALSE,unknown,within park
Pd6642,FALSE,unknown,within park
Pd6136,FALSE,unknown,within park
Pd4156 Skomar's,FALSE,unknown,within park
Pd6944,FALSE,unknown,within park
pD3558,FALSE,unknown,within park
Pd4717,FALSE,unknown,within park
Pd6751,FALSE,unknown,within park
Pd7040,FALSE,unknown,within park
Pd7079,FALSE,unknown,within park
Pd6317,FALSE,unknown,within park
Pd4437,FALSE,unknown,within park
N305; Pd905,FALSE,unknown,within park
Pd5358,FALSE,unknown,within park
Pd906,FALSE,unknown,within park
Pd6136 Bouisier's Pd,FALSE,unknown,within park
Pd6954,FALSE,unknown,within park
Pd6951,FALSE,unknown,within park
Pd1125,FALSE,unknown,within park
p1250,FALSE,unknown,within park
p4857,FALSE,unknown,within park
p5056,FALSE,unknown,within park
p7144,FALSE,unknown,within park
p6753,FALSE,unknown,within park
p4717,FALSE,unknown,within park
p6953,FALSE,unknown,within park
p4857 E,FALSE,unknown,within park
p6954,FALSE,unknown,within park
p4851,FALSE,unknown,within park
p5338 S,FALSE,unknown,within park
p5338,FALSE,unknown,within park
p5335,FALSE,unknown,within park
p6753 SE,FALSE,unknown,within park
p6751 E,FALSE,unknown,within park
p6753 W,FALSE,unknown,within park
p6751 N,FALSE,unknown,within park
p6753 N,FALSE,unknown,within park
p6136,FALSE,unknown,within park
p8132 andre's denis yd pd,FALSE,unknown,within park
1/2 mile N of 5056 (pd 5258) ,FALSE,unknown,within park
"""pd 6136""",FALSE,unknown,within park
pd 6751 ,FALSE,unknown,within park
pd 6672,FALSE,unknown,within park
pd 7040,FALSE,unknown,within park
pd 8132,FALSE,unknown,within park
NE of pd 5056,FALSE,unknown,within park
pd 4634,FALSE,unknown,within park
pd 4332,FALSE,unknown,within park
pd 4156 Skomar's pd,FALSE,unknown,within park
pd 8143,FALSE,unknown,within park
pd 6622,FALSE,unknown,within park
pd 5258,FALSE,unknown,within park
1st large wetland E of pd 7144,FALSE,unknown,within park
pd 7144,FALSE,unknown,within park
pd 6136; N of 85 pd W 92,FALSE,unknown,within park
pd 6954 (2 pds N of 7044),FALSE,unknown,within park
pd 8119,FALSE,unknown,within park
"Skomar's Pd, Pd 4156",FALSE,unknown,within park
"pd 6672 St. Denis, SK",FALSE,unknown,within park
pd 8107,FALSE,unknown,within park
"Skomar's pd
pd 4156",FALSE,unknown,within park
pd 3535,FALSE,unknown,within park
2nd pd to N of pd 5723,FALSE,unknown,within park
pd 5723,FALSE,unknown,within park
SW pd 7040,FALSE,unknown,within park
off area pd 6317,FALSE,unknown,within park
SE on crop 50,FALSE,unknown,NA
pd 1257,FALSE,unknown,within park
S end pd 5723,FALSE,unknown,within park
pd 4328,FALSE,unknown,within park
pd 4717,FALSE,unknown,within park
p7152,FALSE,unknown,within park
p8132,FALSE,unknown,within park
NE end Pd1 no sighting,NA,NA,NA
Pd84 no sighting,NA,NA,NA
